DG_PRODUCTCD,Action,DG_PRODUCTDESC,MV_PRODUCTCD,MV_GLOBEX_PRODUCTCD,CURRENT_PERIOD,SETTLE_LOW,SETTLE_HIGH,DIVIDE,DG_PRODUCTCD_,IsBraket,Sample MV model,Profile(All/custom/default),RELATIVE_CODE,SERVER DHUB,STL Jobs,Datasets without E file Job
CME_NYMEX_4P,check,none,,,,10,100,,4P,,,,CMENYM4P_REL,,NO,NO
CME_NYMEX_4L,check,none,,,,10,150,,4L,,,,CMENYM4L_REL,,NO,NO
CME_NYMEX_4M,check,none,,,,10,100,,4M,,,,CMENYM4M_REL,,NO,NO
CME_NYMEX_1W,check,none,,,,250,550,,1W,,,,CMENYM1W_REL,,NO,NO
CME_NYMEX_1X,check,none,,,,300,550,,1X,,,,CMENYM1X_REL,,NO,NO
CME_NYMEX_7D,check,none,,,,200,500,,7D,,,,CMENYM7D_REL,,NO,NO
CME_NYMEX_1NB,check,none,,,,1,20,,1NB,,,,CMENYM1NB_REL,,NO,NO
CME_NYMEX_1N,check,none,,,,50,100,,1N,,,,CMENYM1N_REL,,NO,NO
CME_NYMEX_5C,check,none,,,,-2,2,,5C,,,,CMENYM5C_REL,,NO,NO
CME_NYMEX_4C,,none,,,,0,0,,4C,,,,CMENYM4C_REL,,NO,NO
CME_NYMEX_7E,check,none,,,,400,650,,7E,,,,CMENYM7E_REL,,NO,NO
CME_NYMEX_3C,,none,,,,0,0,,3C,,,,CMENYM3C_REL,,NO,NO
CME_NYMEX_BZ,check,none,,,,50,100,,BZ,,,,CMENYMBZ_REL,,NO,NO
CME_NYMEX_CL,check,none,,,,40,100,,CL,,,,CMENYMCL_REL,,YES,NO
CME_NYMEX_B4,check,none,,,,0,15,,B4,,,,CMENYMB4_REL,,NO,NO
CME_NYMEX_ACM,check,none,,,,40,100,,ACM,,,,CMENYMACM_REL,,YES,NO
CME_NYMEX_BK,check,none,,,,-15,-5,,BK,,,,CMENYMBK_REL,,NO,NO
CME_NYMEX_E5,check,none,,,,1,12,,E5,,,,CMENYME5_REL,,YES,NO
CME_NYMEX_A6,check,none,,,,-1,2,,A6,,,,CMENYMA6_REL,,NO,NO
CME_NYMEX_A8,check,none,,,,-2,1,,A8,,,,CMENYMA8_REL,,NO,NO
CME_NYMEX_BOB,check,none,,,,-50,-7,,BOB,,,,CMENYMBOB_REL,,NO,NO
CME_NYMEX_7L,check,none,,,,500,900,,7L,,,,CMENYM7L_REL,,NO,NO
CME_NYMEX_BB,check,none,,,,20,100,,BB,,,,CMENYMBB_REL,,NO,NO
CME_NYMEX_D8,check,none,,,,15,60,,D8,,,,CMENYMD8_REL,,NO,NO
CME_NYMEX_D9,check,none,,,,10,50,,D9,,,,CMENYMD9_REL,,NO,NO
CME_NYMEX_D7,check,none,,,,20,70,,D7,,,,CMENYMD7_REL,,NO,NO
CME_NYMEX_EJ,check,none,,,,10,50,,EJ,,,,CMENYMEJ_REL,,NO,NO
CME_NYMEX_EM,check,none,,,,20,70,,EM,,,,CMENYMEM_REL,,NO,NO
CME_NYMEX_E4,check,none,,,,10,100,,E4,,,,CMENYME4_REL,,NO,NO
CME_NYMEX_D3,check,none,,,,20,200,,D3,,,,CMENYMD3_REL,,NO,NO
CME_NYMEX_D4,check,none,,,,15,100,,D4,,,,CMENYMD4_REL,,NO,NO
CME_NYMEX_E3,check,none,,,,10,150,,E3,,,,CMENYME3_REL,,NO,NO
CME_NYMEX_8E,,none,,,,0,0,,8E,,,,CMENYM8E_REL,,NO,NO
CME_NYMEX_B3,check,none,,,,10,60,,B3,,,,CMENYMB3_REL,,NO,NO
CME_NYMEX_A3,,none,,,,0,0,,A3,,,,CMENYMA3_REL,,NO,NO
CME_NYMEX_8X,check,none,,,,-5,-0.001,,8X,,,,CMENYM8X_REL,,NO,NO
CME_NYMEX_9F,check,none,,,,-2,-0.01,,9F,,,,CMENYM9F_REL,,NO,NO
CME_NYMEX_8Z,check,none,,,,-1,-0.1,,8Z,,,,CMENYM8Z_REL,,NO,NO
CME_NYMEX_CI,check,none,,,,-5,1,,CI,,,,CMENYMCI_REL,,NO,NO
CME_NYMEX_CY,check,none,,,,50,100,,CY,,,,CMENYMCY_REL,,NO,NO
CME_NYMEX_EFM,,none,,,,0,0,,EFM,,,,CMENYMEFM_REL,,NO,NO
CME_NYMEX_CRB,check,none,,,,-1,-0.01,,CRB,,,,CMENYMCRB_REL,,NO,NO
CME_NYMEX_91,check,none,,,,10,70,,91,,,,CMENYM91_REL,,NO,NO
CME_NYMEX_D46,,none,,,,0,0,,D46,,,,CMENYMD46_REL,,NO,NO
CME_NYMEX_A7,check,none,,,,1,5,,A7,,,,CMENYMA7_REL,,NO,NO
CME_NYMEX_CSW,check,none,,,,-1,5,,CSW,,,,CMENYMCSW_REL,,NO,NO
CME_NYMEX_7Y,check,none,,,,-0.0001,1,,7Y,,,,CMENYM7Y_REL,,NO,NO
CME_NYMEX_BFR,check,none,,,,-10,1000,,BFR,,,,CMENYMBFR_REL,,YES,NO
CME_NYMEX_8L,check,none,,,,5,0.5,,8L,,,,CMENYM8L_REL,,NO,NO
CME_NYMEX_8K,,none,,,,0,0,,8K,,,,CMENYM8K_REL,,NO,NO
CME_NYMEX_7Q,check,none,,,,0.5,5,,7Q,,,,CMENYM7Q_REL,,NO,NO
CME_NYMEX_8I,check,none,,,,0.2,3,,8I,,,,CMENYM8I_REL,,NO,NO
